module             ev_recv ev_acpt wait  svc_t  %w  %b  open solve  memsz  bufsz
cpumem-retire            0       0  0.0  277.9   0   0     0     0      0      0
disk-diagnosis           0       0  0.0  278.4   0   0     0     0      0      0
disk-transport           0       0  1.0 3339439.6 100   0     0     0    52b      0
eft                      3       0  0.0  260.0   0   0     0     0   1.8M      0
endurance-transport       0       0  1.0 30109115.9 100   0     0     0    36b      0
enum-transport           0       0  0.0    0.2   0   0     0     0     8b      0
ext-event-transport      21       0  0.0   17.3   0   0     0     0   2.1K   2.0K
fabric-xlate             0       0  0.0    0.5   0   0     0     0      0      0
fdd-msg                  0       0  0.0  270.4   0   0     0     0      0      0
fmd-self-diagnosis     367       0  0.0   25.7   0   0     0     0      0      0
fru-monitor             11       0  0.0    0.3   0   0     0     0   2.5K      0
io-retire                0       0  0.0  277.9   0   0     0     0      0      0
non-serviceable          4       0  0.0  250.2   0   0     0     0      0      0
sas-cabling              0       0  1.0 298170.6 100   0     0     0    48b      0
sensor-transport         0       0  0.0    0.2   0   0     0     0    40b      0
ses-log-transport        0       0  0.0    0.2   0   0     0     0    40b      0
software-diagnosis       4       4  0.0    0.9   0   0     2     4   780b   440b
software-response       20       0  0.0    0.9   0   0     0     0   2.3K   2.0K
sysevent-transport       0       0  0.0   79.5   0   0     0     0      0      0
syslog-msgs             14       0  0.0  221.3   0   0     0     0      0      0
zfs-diagnosis           35       0  0.0  140.9   0   0     0     0      0      0
zfs-retire              35       0  0.0  377.8   0   0     0     0     4b      0
